,entityName,state,year,quarter,count,amount
171,nicobars,andaman-&-nicobar-islands,2021,2,15307,48020606.74716838
172,744101,andaman-&-nicobar-islands,2021,2,73334,227585492.7414593
173,744103,andaman-&-nicobar-islands,2021,2,66321,174752815.1688521
174,744105,andaman-&-nicobar-islands,2021,2,52645,134835744.22049245
175,744102,andaman-&-nicobar-islands,2021,2,34289,100890426.76234055
176,744202,andaman-&-nicobar-islands,2021,2,16476,40647907.96960775
177,744107,andaman-&-nicobar-islands,2021,2,14524,24690581.539094776
178,744104,andaman-&-nicobar-islands,2021,2,11278,28333852.06159348
179,744211,andaman-&-nicobar-islands,2021,2,10182,20377949.346094526
180,744112,andaman-&-nicobar-islands,2021,2,9635,21637658.167199604
181,744301,andaman-&-nicobar-islands,2021,2,8463,27666837.39688266
182,south andaman,andaman-&-nicobar-islands,2021,3,382418,1116789010.6459613
183,north and middle andaman,andaman-&-nicobar-islands,2021,3,46592,118254865.82750683
184,nicobars,andaman-&-nicobar-islands,2021,3,20754,74980519.32813609
185,744101,andaman-&-nicobar-islands,2021,3,116324,388328168.7639693
186,744103,andaman-&-nicobar-islands,2021,3,84790,246433385.80990067
187,744105,andaman-&-nicobar-islands,2021,3,67257,185238368.4767078
188,744102,andaman-&-nicobar-islands,2021,3,43850,131239564.16909727
189,744202,andaman-&-nicobar-islands,2021,3,19088,48475163.574293144
190,744107,andaman-&-nicobar-islands,2021,3,16203,37962312.09641009
191,744104,andaman-&-nicobar-islands,2021,3,14657,35301326.114471875
192,744112,andaman-&-nicobar-islands,2021,3,11565,28491553.61094001
193,744301,andaman-&-nicobar-islands,2021,3,11553,43464511.051198
194,744211,andaman-&-nicobar-islands,2021,3,9655,19497765.257140517
195,south andaman,andaman-&-nicobar-islands,2021,4,558571,1694794708.0093331
196,north and middle andaman,andaman-&-nicobar-islands,2021,4,53115,156486112.28732437
197,nicobars,andaman-&-nicobar-islands,2021,4,24437,81329281.0269996
198,744101,andaman-&-nicobar-islands,2021,4,165719,533026207.9731797
199,744103,andaman-&-nicobar-islands,2021,4,121613,372243734.27985656
200,744105,andaman-&-nicobar-islands,2021,4,95028,281223411.7435058
201,744102,andaman-&-nicobar-islands,2021,4,58258,174623253.47653326
202,744211,andaman-&-nicobar-islands,2021,4,27938,94222862.10725296
203,744104,andaman-&-nicobar-islands,2021,4,25662,69245386.0816525
204,744202,andaman-&-nicobar-islands,2021,4,21913,67790798.04849821
205,744107,andaman-&-nicobar-islands,2021,4,21397,52036029.9980372
206,744112,andaman-&-nicobar-islands,2021,4,18915,55448543.43365714
207,744301,andaman-&-nicobar-islands,2021,4,14553,47792330.70050094
208,south andaman,andaman-&-nicobar-islands,2022,1,705512,1872991195.902684
209,north and middle andaman,andaman-&-nicobar-islands,2022,1,60059,161624878.52274162
210,nicobars,andaman-&-nicobar-islands,2022,1,29177,94414127.64974089
211,744101,andaman-&-nicobar-islands,2022,1,209941,615978080.6944855
212,744103,andaman-&-nicobar-islands,2022,1,157230,399715980.1391735
213,744105,andaman-&-nicobar-islands,2022,1,122716,321850608.7396423
214,744102,andaman-&-nicobar-islands,2022,1,74883,193336549.94178736
215,744104,andaman-&-nicobar-islands,2022,1,32471,72915521.83614868
216,744211,andaman-&-nicobar-islands,2022,1,30272,86955570.58655271
217,744107,andaman-&-nicobar-islands,2022,1,25379,58776727.62636636
218,744202,andaman-&-nicobar-islands,2022,1,24022,68519268.77643085
219,744112,andaman-&-nicobar-islands,2022,1,23471,55469783.6622991
220,744301,andaman-&-nicobar-islands,2022,1,17630,56879992.28461884
221,visakhapatnam,andhra-pradesh,2018,1,1256469,1749966196.5049949
222,east godavari,andhra-pradesh,2018,1,943935,1235785515.5997267
223,krishna,andhra-pradesh,2018,1,863935,1284255179.6156201
224,chittoor,andhra-pradesh,2018,1,830324,1009621878.0870512
225,guntur,andhra-pradesh,2018,1,815932,1108686589.0266826
226,kurnool,andhra-pradesh,2018,1,679623,764905298.7350456
227,anantapur,andhra-pradesh,2018,1,638664,788830646.0324218
228,west godavari,andhra-pradesh,2018,1,577090,853547668.7532666
229,prakasam,andhra-pradesh,2018,1,534757,748990775.8676486
230,spsr nellore,andhra-pradesh,2018,1,531612,676643237.8069417
231,517501,andhra-pradesh,2018,1,110496,163487278.84449506
232,520001,andhra-pradesh,2018,1,96883,170605900.5466873
233,515001,andhra-pradesh,2018,1,92754,133522310.75704184
234,517507,andhra-pradesh,2018,1,88132,127450018.2101582
235,516001,andhra-pradesh,2018,1,84644,131194265.5243713
236,518502,andhra-pradesh,2018,1,82421,68040306.13881023
237,530016,andhra-pradesh,2018,1,81891,140880970.0990568
238,520010,andhra-pradesh,2018,1,69581,119009921.97401813
239,516360,andhra-pradesh,2018,1,68340,101612118.88480642
240,518501,andhra-pradesh,2018,1,68193,81006512.71677604
241,visakhapatnam,andhra-pradesh,2018,2,1641192,2987853607.2939095
242,krishna,andhra-pradesh,2018,2,1224987,2448141593.4919834
243,east godavari,andhra-pradesh,2018,2,1221677,2168914928.4239016
244,chittoor,andhra-pradesh,2018,2,1185723,1990419125.8937118
245,guntur,andhra-pradesh,2018,2,1088101,2108475811.785997
246,kurnool,andhra-pradesh,2018,2,968439,1531888665.6843233
247,anantapur,andhra-pradesh,2018,2,937023,1690366079.0557928
248,west godavari,andhra-pradesh,2018,2,786033,1688025212.3045943
249,spsr nellore,andhra-pradesh,2018,2,780454,1542057934.0108962
250,prakasam,andhra-pradesh,2018,2,739991,1571167562.1276274
251,517501,andhra-pradesh,2018,2,165506,305629373.15863353
252,518502,andhra-pradesh,2018,2,140893,127814123.87394845
253,515001,andhra-pradesh,2018,2,129798,285924993.6163615
254,517507,andhra-pradesh,2018,2,127731,243405277.90481398
255,520001,andhra-pradesh,2018,2,123176,271911611.0495833
256,516001,andhra-pradesh,2018,2,114806,242175477.6115077
257,530016,andhra-pradesh,2018,2,111874,235770318.03054443
258,520010,andhra-pradesh,2018,2,100630,220730389.6490364
259,516360,andhra-pradesh,2018,2,96619,197068813.60447282
260,518501,andhra-pradesh,2018,2,93442,163942778.22947574
261,visakhapatnam,andhra-pradesh,2018,3,3394576,4821892253.393524
262,east godavari,andhra-pradesh,2018,3,3226907,3551247095.3074465
263,kurnool,andhra-pradesh,2018,3,2921189,2908389261.5397735
264,krishna,andhra-pradesh,2018,3,2396934,3754202654.3844614
265,chittoor,andhra-pradesh,2018,3,2297429,3283517630.720593
