,name,state,year,quarter,count,amount
268,Financial Services,assam,2018,3,22677,4741123.821880115
269,Others,assam,2018,3,50935,30904247.884785894
270,Recharge & bill payments,assam,2018,4,1703488,317661277.3470997
271,Peer-to-peer payments,assam,2018,4,1279089,5284776455.070784
272,Merchant payments,assam,2018,4,667293,240563395.2777939
273,Financial Services,assam,2018,4,28035,6331912.52655252
274,Others,assam,2018,4,56267,38689818.79087821
275,Recharge & bill payments,assam,2019,1,1993220,400281677.94382846
276,Peer-to-peer payments,assam,2019,1,1976310,7291433300.700247
277,Merchant payments,assam,2019,1,494871,266644645.74929428
278,Financial Services,assam,2019,1,20162,4612454.1127945455
279,Others,assam,2019,1,48442,39127457.944687635
280,Recharge & bill payments,assam,2019,2,2512932,539315772.8606573
281,Peer-to-peer payments,assam,2019,2,2293770,10035232820.852964
282,Merchant payments,assam,2019,2,573646,326844709.5879724
283,Financial Services,assam,2019,2,13654,4037222.414240564
284,Others,assam,2019,2,60927,49538663.41037582
285,Peer-to-peer payments,assam,2019,3,2713539,11835800855.176552
286,Recharge & bill payments,assam,2019,3,2645302,639885372.7480905
287,Merchant payments,assam,2019,3,513728,421380275.4207429
288,Financial Services,assam,2019,3,8606,6403456.344768786
289,Others,assam,2019,3,61396,46973660.73634353
290,Peer-to-peer payments,assam,2019,4,3222143,14083346879.361855
291,Recharge & bill payments,assam,2019,4,2937800,704118873.972094
292,Merchant payments,assam,2019,4,544053,456318130.082201
293,Financial Services,assam,2019,4,9621,3492255.0860687294
294,Others,assam,2019,4,46893,34707757.009855896
295,Peer-to-peer payments,assam,2020,1,4058740,18977446151.768826
296,Recharge & bill payments,assam,2020,1,3897975,971722606.1579468
297,Merchant payments,assam,2020,1,792646,675423852.9512749
298,Financial Services,assam,2020,1,10173,7054325.507515656
299,Others,assam,2020,1,49326,36781411.34368035
300,Recharge & bill payments,assam,2020,2,6045321,1612522828.7163475
301,Peer-to-peer payments,assam,2020,2,3648386,17358374071.26616
302,Merchant payments,assam,2020,2,742400,749018053.2400584
303,Financial Services,assam,2020,2,19814,18130004.687672265
304,Others,assam,2020,2,49278,28255168.009208795
305,Peer-to-peer payments,assam,2020,3,5637893,26646565777.43919
306,Recharge & bill payments,assam,2020,3,5292154,1627282415.9451878
307,Merchant payments,assam,2020,3,1383230,1492484153.3873158
308,Financial Services,assam,2020,3,24954,28452966.026372254
309,Others,assam,2020,3,59480,36605946.74600269
310,Peer-to-peer payments,assam,2020,4,7538478,36013292450.814384
311,Recharge & bill payments,assam,2020,4,5383505,1662189124.4177454
312,Merchant payments,assam,2020,4,2392184,2466913305.59039
313,Financial Services,assam,2020,4,29764,32314809.975261033
314,Others,assam,2020,4,79523,51901628.46643049
315,Peer-to-peer payments,assam,2021,1,9449096,45476079487.10464
316,Recharge & bill payments,assam,2021,1,6494111,2103017761.546533
317,Merchant payments,assam,2021,1,3459132,3657261586.2001615
318,Financial Services,assam,2021,1,34049,41291047.3832124
319,Others,assam,2021,1,75672,48814663.88782827
320,Peer-to-peer payments,assam,2021,2,11668399,51521387890.61253
321,Recharge & bill payments,assam,2021,2,9058005,2657676415.2458973
322,Merchant payments,assam,2021,2,4562669,4914753140.040101
323,Financial Services,assam,2021,2,49671,46106001.498141706
324,Others,assam,2021,2,94161,52549929.267157935
325,Peer-to-peer payments,assam,2021,3,15617592,64131823895.235466
326,Recharge & bill payments,assam,2021,3,10284267,3248364164.1984267
327,Merchant payments,assam,2021,3,7431371,8208706348.034584
328,Financial Services,assam,2021,3,39479,43889820.495989755
329,Others,assam,2021,3,131732,67715045.34317216
330,Peer-to-peer payments,assam,2021,4,21393962,86801625126.53499
331,Merchant payments,assam,2021,4,12895755,13378765005.905182
332,Recharge & bill payments,assam,2021,4,11484376,3842004488.3733196
333,Financial Services,assam,2021,4,60724,65456475.826191336
334,Others,assam,2021,4,185544,97116796.57575196
335,Peer-to-peer payments,assam,2022,1,27156085,108855352347.44865
336,Merchant payments,assam,2022,1,19011883,18833132506.022354
337,Recharge & bill payments,assam,2022,1,12474674,4424035840.366192
338,Financial Services,assam,2022,1,68432,73257991.39188361
339,Others,assam,2022,1,178812,94659207.47378007
340,Recharge & bill payments,bihar,2018,1,3159922,375559206.7727593
341,Peer-to-peer payments,bihar,2018,1,2052089,5295346761.45083
342,Financial Services,bihar,2018,1,194295,33999413.87739952
343,Merchant payments,bihar,2018,1,138885,139827755.73655012
344,Others,bihar,2018,1,279111,201025034.17960182
345,Recharge & bill payments,bihar,2018,2,4346849,700649777.0602969
346,Peer-to-peer payments,bihar,2018,2,3447898,12141448845.077621
347,Merchant payments,bihar,2018,2,311487,318571872.8216527
348,Financial Services,bihar,2018,2,267433,45332532.096432865
349,Others,bihar,2018,2,258711,300128082.6160458
350,Peer-to-peer payments,bihar,2018,3,8893764,18695889187.89432
351,Recharge & bill payments,bihar,2018,3,4401439,804061398.5166465
352,Merchant payments,bihar,2018,3,586862,367608510.7261781
353,Financial Services,bihar,2018,3,274510,33276460.45213346
354,Others,bihar,2018,3,211229,234968821.31206354
355,Peer-to-peer payments,bihar,2018,4,8094296,26224303882.80399
356,Recharge & bill payments,bihar,2018,4,5469096,986310785.0093702
357,Merchant payments,bihar,2018,4,1680664,848968693.0665624
358,Financial Services,bihar,2018,4,237247,36199427.51318769
359,Others,bihar,2018,4,251098,302214380.18458414
360,Peer-to-peer payments,bihar,2019,1,16807040,38824078062.32093
361,Recharge & bill payments,bihar,2019,1,7036367,1333688182.5386746
362,Merchant payments,bihar,2019,1,2055267,1024996999.5279309
363,Financial Services,bihar,2019,1,204689,28599535.734409343
364,Others,bihar,2019,1,252871,291464734.4043106
365,Peer-to-peer payments,bihar,2019,2,15837449,58381285240.80835
366,Recharge & bill payments,bihar,2019,2,9279442,1996804238.2749753
367,Merchant payments,bihar,2019,2,4365465,2308145849.844257
368,Financial Services,bihar,2019,2,129603,63338108.53755434
369,Others,bihar,2019,2,348520,382864846.0767575
370,Peer-to-peer payments,bihar,2019,3,15446119,61831776093.09613
371,Recharge & bill payments,bihar,2019,3,9115040,2140566974.705637
372,Merchant payments,bihar,2019,3,7206001,3413490288.3137074
373,Financial Services,bihar,2019,3,89997,20145460.42764103
374,Others,bihar,2019,3,282743,286804437.7358033
375,Peer-to-peer payments,bihar,2019,4,26337842,86340631422.24606
376,Recharge & bill payments,bihar,2019,4,11358597,2649616529.830146
377,Merchant payments,bihar,2019,4,5519582,4177574379.0405855
378,Financial Services,bihar,2019,4,100192,18815964.761792127
379,Others,bihar,2019,4,214101,126788281.9306988
380,Peer-to-peer payments,bihar,2020,1,23163922,99873688132.9031
381,Recharge & bill payments,bihar,2020,1,13837430,3680590624.9006104
382,Merchant payments,bihar,2020,1,7822567,5562692116.5708065
383,Financial Services,bihar,2020,1,57233,23954789.407903705
384,Others,bihar,2020,1,200663,115927863.46366584
385,Peer-to-peer payments,bihar,2020,2,26572651,116244368941.33606
386,Recharge & bill payments,bihar,2020,2,19522564,5642294772.453551
387,Merchant payments,bihar,2020,2,7011681,6760404421.62296
388,Financial Services,bihar,2020,2,73119,54077813.2606806
389,Others,bihar,2020,2,206727,105377680.17075577
390,Peer-to-peer payments,bihar,2020,3,37294332,153664683751.53278
391,Recharge & bill payments,bihar,2020,3,19027978,6313780616.601829
392,Merchant payments,bihar,2020,3,14777337,13111735855.02769
393,Financial Services,bihar,2020,3,104135,81355476.16367023
394,Others,bihar,2020,3,299966,157309412.49242482
395,Peer-to-peer payments,bihar,2020,4,49432098,208484557891.42865
396,Merchant payments,bihar,2020,4,26750991,23185594534.30522
397,Recharge & bill payments,bihar,2020,4,19908687,6926960996.688756
398,Financial Services,bihar,2020,4,119416,100785736.00790763
399,Others,bihar,2020,4,380481,207713978.04223877
400,Peer-to-peer payments,bihar,2021,1,58566582,242013312361.31104
401,Merchant payments,bihar,2021,1,33959313,30171144593.369873
402,Recharge & bill payments,bihar,2021,1,21974086,8505455545.448764
403,Financial Services,bihar,2021,1,124277,112949858.25028673
404,Others,bihar,2021,1,308219,170787342.8481179
405,Peer-to-peer payments,bihar,2021,2,78694099,319758683264.15344
406,Merchant payments,bihar,2021,2,44686786,43458914639.77138
407,Recharge & bill payments,bihar,2021,2,31646149,11030849713.502428
408,Financial Services,bihar,2021,2,149791,116086345.91301711
409,Others,bihar,2021,2,426797,215721223.2386405
410,Peer-to-peer payments,bihar,2021,3,92785704,331514102784.2631
