,name,registeredUsers,state,year,quarter
208,south andaman,63487,andaman-&-nicobar-islands,2022,1
209,north and middle andaman,10720,andaman-&-nicobar-islands,2022,1
210,nicobars,2081,andaman-&-nicobar-islands,2022,1
211,744103,15011,andaman-&-nicobar-islands,2022,1
212,744105,13070,andaman-&-nicobar-islands,2022,1
213,744101,12300,andaman-&-nicobar-islands,2022,1
214,744102,8271,andaman-&-nicobar-islands,2022,1
215,744202,4107,andaman-&-nicobar-islands,2022,1
216,744107,3455,andaman-&-nicobar-islands,2022,1
217,744104,3146,andaman-&-nicobar-islands,2022,1
218,744112,2552,andaman-&-nicobar-islands,2022,1
219,744211,2344,andaman-&-nicobar-islands,2022,1
220,744205,2034,andaman-&-nicobar-islands,2022,1
221,visakhapatnam,497187,andhra-pradesh,2018,1
222,east godavari,350356,andhra-pradesh,2018,1
223,krishna,323673,andhra-pradesh,2018,1
224,guntur,317065,andhra-pradesh,2018,1
225,chittoor,309541,andhra-pradesh,2018,1
226,anantapur,241192,andhra-pradesh,2018,1
227,kurnool,240133,andhra-pradesh,2018,1
228,west godavari,213335,andhra-pradesh,2018,1
229,spsr nellore,194475,andhra-pradesh,2018,1
230,prakasam,189949,andhra-pradesh,2018,1
231,517501,39884,andhra-pradesh,2018,1
232,530016,34201,andhra-pradesh,2018,1
233,517507,34111,andhra-pradesh,2018,1
234,515001,31964,andhra-pradesh,2018,1
235,516001,29078,andhra-pradesh,2018,1
236,518002,29043,andhra-pradesh,2018,1
237,530026,26889,andhra-pradesh,2018,1
238,516360,26187,andhra-pradesh,2018,1
239,520010,24397,andhra-pradesh,2018,1
240,524002,23439,andhra-pradesh,2018,1
241,visakhapatnam,636052,andhra-pradesh,2018,2
242,east godavari,454398,andhra-pradesh,2018,2
243,krishna,431965,andhra-pradesh,2018,2
244,guntur,420326,andhra-pradesh,2018,2
245,chittoor,414306,andhra-pradesh,2018,2
246,anantapur,326383,andhra-pradesh,2018,2
247,kurnool,319313,andhra-pradesh,2018,2
248,west godavari,282393,andhra-pradesh,2018,2
249,spsr nellore,261049,andhra-pradesh,2018,2
250,prakasam,253458,andhra-pradesh,2018,2
251,517501,53468,andhra-pradesh,2018,2
252,517507,45241,andhra-pradesh,2018,2
253,530016,43386,andhra-pradesh,2018,2
254,515001,42466,andhra-pradesh,2018,2
255,516001,38402,andhra-pradesh,2018,2
256,518002,37593,andhra-pradesh,2018,2
257,516360,34544,andhra-pradesh,2018,2
258,530026,34126,andhra-pradesh,2018,2
259,520010,31871,andhra-pradesh,2018,2
260,524002,31134,andhra-pradesh,2018,2
261,visakhapatnam,769096,andhra-pradesh,2018,3
262,east godavari,558982,andhra-pradesh,2018,3
263,krishna,537086,andhra-pradesh,2018,3
264,guntur,518931,andhra-pradesh,2018,3
265,chittoor,515727,andhra-pradesh,2018,3
266,anantapur,405855,andhra-pradesh,2018,3
267,kurnool,394311,andhra-pradesh,2018,3
268,west godavari,349782,andhra-pradesh,2018,3
269,spsr nellore,322446,andhra-pradesh,2018,3
270,prakasam,314899,andhra-pradesh,2018,3
271,517501,65157,andhra-pradesh,2018,3
272,517507,54849,andhra-pradesh,2018,3
273,530016,52259,andhra-pradesh,2018,3
274,515001,51449,andhra-pradesh,2018,3
275,516001,46691,andhra-pradesh,2018,3
276,518002,45145,andhra-pradesh,2018,3
277,516360,41963,andhra-pradesh,2018,3
278,530026,40580,andhra-pradesh,2018,3
279,520010,38918,andhra-pradesh,2018,3
280,524002,37559,andhra-pradesh,2018,3
281,visakhapatnam,978288,andhra-pradesh,2018,4
282,east godavari,694455,andhra-pradesh,2018,4
283,krishna,682479,andhra-pradesh,2018,4
284,chittoor,665280,andhra-pradesh,2018,4
285,guntur,659552,andhra-pradesh,2018,4
286,anantapur,510892,andhra-pradesh,2018,4
287,kurnool,498582,andhra-pradesh,2018,4
288,west godavari,435668,andhra-pradesh,2018,4
289,spsr nellore,407495,andhra-pradesh,2018,4
290,prakasam,394962,andhra-pradesh,2018,4
291,517501,82873,andhra-pradesh,2018,4
292,517507,70421,andhra-pradesh,2018,4
293,530016,65549,andhra-pradesh,2018,4
294,515001,63576,andhra-pradesh,2018,4
295,516001,58028,andhra-pradesh,2018,4
296,518002,55735,andhra-pradesh,2018,4
297,516360,52058,andhra-pradesh,2018,4
298,530026,51900,andhra-pradesh,2018,4
299,520010,48991,andhra-pradesh,2018,4
300,524002,46616,andhra-pradesh,2018,4
301,visakhapatnam,1174517,andhra-pradesh,2019,1
302,east godavari,839277,andhra-pradesh,2019,1
303,krishna,833694,andhra-pradesh,2019,1
304,chittoor,812314,andhra-pradesh,2019,1
305,guntur,802394,andhra-pradesh,2019,1
306,anantapur,612162,andhra-pradesh,2019,1
307,kurnool,599422,andhra-pradesh,2019,1
308,west godavari,523372,andhra-pradesh,2019,1
309,spsr nellore,491908,andhra-pradesh,2019,1
310,prakasam,474260,andhra-pradesh,2019,1
311,517501,100561,andhra-pradesh,2019,1
312,517507,85980,andhra-pradesh,2019,1
313,530016,77790,andhra-pradesh,2019,1
