,name,state,year,quarter,count,amount
271,krishna district,andhra-pradesh,2022,1,61826199,139690081529.49048
272,lower dibang valley district,arunachal-pradesh,2018,1,1356,1076236.814073793
273,lower subansiri district,arunachal-pradesh,2018,1,1477,3650727.893614269
274,longding district,arunachal-pradesh,2018,1,2321,4361531.578447229
275,west siang district,arunachal-pradesh,2018,1,1887,4796675.565399804
276,kamle district,arunachal-pradesh,2018,1,14,7971.330494807651
277,upper siang district,arunachal-pradesh,2018,1,126,186610.66988095018
278,tirap district,arunachal-pradesh,2018,1,945,1064265.0002443574
279,papum pare district,arunachal-pradesh,2018,1,14224,32555848.462331478
280,kurung kumey district,arunachal-pradesh,2018,1,84,99416.58027150274
281,siang district,arunachal-pradesh,2018,1,252,339471.80434222345
282,lower siang district,arunachal-pradesh,2018,1,1292,2337960.7148240386
283,kra daadi district,arunachal-pradesh,2018,1,207,495375.1454853307
284,changlang district,arunachal-pradesh,2018,1,3195,5380749.415278763
285,pakke kessang district,arunachal-pradesh,2018,1,9,9131.404205737199
286,dibang valley district,arunachal-pradesh,2018,1,2,169.88856537681642
287,west kameng district,arunachal-pradesh,2018,1,5787,9540632.547015157
288,east siang district,arunachal-pradesh,2018,1,3286,5533620.186295529
289,upper subansiri district,arunachal-pradesh,2018,1,735,1358367.5018580484
290,east kameng district,arunachal-pradesh,2018,1,529,473824.76595106337
291,lohit district,arunachal-pradesh,2018,1,3747,11496949.54576835
292,lepa rada district,arunachal-pradesh,2018,1,288,403149.46702687367
293,tawang district,arunachal-pradesh,2018,1,2334,5055665.022950603
294,namsai district,arunachal-pradesh,2018,1,1400,2162984.705083958
295,lower dibang valley district,arunachal-pradesh,2018,2,1827,2561237.506207262
296,lower subansiri district,arunachal-pradesh,2018,2,1666,4113742.04406352
297,longding district,arunachal-pradesh,2018,2,4634,10271170.165521314
298,west siang district,arunachal-pradesh,2018,2,2579,7610989.567485569
299,kamle district,arunachal-pradesh,2018,2,12,23654.058373191845
300,upper siang district,arunachal-pradesh,2018,2,240,494895.09277159756
301,tirap district,arunachal-pradesh,2018,2,1903,3126393.7649546335
302,papum pare district,arunachal-pradesh,2018,2,25363,66520931.20355793
303,kurung kumey district,arunachal-pradesh,2018,2,83,123737.2220411206
304,anjaw district,arunachal-pradesh,2018,2,7,7871.020814692305
305,siang district,arunachal-pradesh,2018,2,336,740232.6309634304
306,lower siang district,arunachal-pradesh,2018,2,2292,2179451.657976534
307,kra daadi district,arunachal-pradesh,2018,2,247,987135.9959717204
308,changlang district,arunachal-pradesh,2018,2,6066,13294258.50337311
309,pakke kessang district,arunachal-pradesh,2018,2,48,58359.57138935899
310,dibang valley district,arunachal-pradesh,2018,2,68,65769.2036735354
311,west kameng district,arunachal-pradesh,2018,2,10466,25521321.34140157
312,east siang district,arunachal-pradesh,2018,2,6363,15285584.202916935
313,upper subansiri district,arunachal-pradesh,2018,2,1285,2911910.3689207276
314,east kameng district,arunachal-pradesh,2018,2,522,1825297.4617279815
315,lohit district,arunachal-pradesh,2018,2,6962,20520618.881890118
316,lepa rada district,arunachal-pradesh,2018,2,511,731444.7370576829
317,tawang district,arunachal-pradesh,2018,2,5447,13722374.811357912
318,namsai district,arunachal-pradesh,2018,2,3230,6271811.327635023
319,lower dibang valley district,arunachal-pradesh,2018,3,2824,6074558.207066888
320,lower subansiri district,arunachal-pradesh,2018,3,2346,5154231.737357968
321,longding district,arunachal-pradesh,2018,3,5288,18327334.050755527
322,west siang district,arunachal-pradesh,2018,3,3337,12966152.792519316
323,kamle district,arunachal-pradesh,2018,3,93,30504.94301319112
324,upper siang district,arunachal-pradesh,2018,3,250,743956.1055720671
325,tirap district,arunachal-pradesh,2018,3,3322,7479257.007852319
326,papum pare district,arunachal-pradesh,2018,3,43282,101080479.2917223
327,kurung kumey district,arunachal-pradesh,2018,3,255,303027.4066451341
328,anjaw district,arunachal-pradesh,2018,3,13,95403.67678261214
329,siang district,arunachal-pradesh,2018,3,615,2141734.499956036
330,lower siang district,arunachal-pradesh,2018,3,2625,3045590.882295873
331,kra daadi district,arunachal-pradesh,2018,3,436,1606758.4080739785
332,changlang district,arunachal-pradesh,2018,3,10162,20494174.949715402
333,pakke kessang district,arunachal-pradesh,2018,3,165,305164.81707575504
334,dibang valley district,arunachal-pradesh,2018,3,29,196466.66696677107
335,west kameng district,arunachal-pradesh,2018,3,17026,48528147.45054105
336,east siang district,arunachal-pradesh,2018,3,10539,24885270.773230057
337,upper subansiri district,arunachal-pradesh,2018,3,1601,4223297.613673143
338,east kameng district,arunachal-pradesh,2018,3,1029,3132863.590645522
339,lohit district,arunachal-pradesh,2018,3,11595,32702331.664437763
340,lepa rada district,arunachal-pradesh,2018,3,523,1777602.4370017413
341,tawang district,arunachal-pradesh,2018,3,8715,25733824.994109266
342,namsai district,arunachal-pradesh,2018,3,5076,10698272.774381302
343,lower dibang valley district,arunachal-pradesh,2018,4,4227,10951332.393937869
344,lower subansiri district,arunachal-pradesh,2018,4,3735,8884930.591487257
